,Titulo,Data,URL da noticia
0,Catalan separatists to break Spain's political deadlock,02-01-2020,https://www.chronicle.gi/catalan-separatists-to-break-spains-political-deadlock/
1,"Jordi Cruyff, el plan B a Robert Moreno de la selección de Ecuador",02-01-2020,https://www.elespanol.com/deportes/futbol/20200102/jordi-cruyff-plan-robert-moreno-seleccion-ecuador/456704920_0.html
2,"Un hombre de Pontevedra cazado al hacer un 'simpa' en Nochevieja tras comer 
centollo, cigalas y chuleta",02-01-2020,https://www.elespanol.com/sociedad/sucesos/20200102/hombre-pontevedra-cazado-hacer-nochevieja-centollo-chuleta/456704495_0.html
3,"Una niña de 13 años muere al dar a luz después de ser violada durante 
cuatro años por su padre",02-01-2020,https://www.elespanol.com/sociedad/sucesos/20200102/nina-anos-muere-dar-despues-violada-padre/456704774_0.html
4,"Marlaska confirma la transferencia de Tráfico a Navarra pero niega la 
salida de la Guardia Civil",02-01-2020,https://www.elespanol.com/espana/20200102/marlaska-confirma-transferencia-trafico-navarra-guardia-civil/456704582_0.html
5,"Ibrahimovic vuelve, triunfa y desata pasiones en el Milan: ""Esta es mi casa 
y ya estoy aquí""",02-01-2020,https://www.elespanol.com/deportes/futbol/20200102/ibrahimovic-vuelve-triunfa-desata-pasiones-milan-casa/456705107_0.html
6,"La madre que mató a su hija le dio 80 pastillas de Lormetazepam antes de 
ahogarla en la bañera",02-01-2020,https://www.elespanol.com/reportajes/20200102/madre-mato-hija-pastillas-lormetazepam-ahogarla-banera/456704850_0.html
7,"Vox se adueña del Día de la Toma en Granada: ""La reconquista no ha 
terminado""",02-01-2020,https://www.elespanol.com/espana/20200102/vox-dia-toma-granada-reconquista-no-terminado/456704685_0.html
8,"La misteriosa muerte de Sheila y Jonan en Arrasate: sin violencia en un 
coche parado y encendido",02-01-2020,https://www.elespanol.com/reportajes/20200102/misteriosa-muerte-sheila-jonan-arrasate-sin-violencia/456704566_0.html
9,"Solo 12 mujeres de 572 pilotos en el Dakar de Arabia Saudí: las españolas 
son mayoría",02-01-2020,https://www.elespanol.com/deportes/motor/20200102/solo-mujeres-pilotos-dakar-arabia-saudi-espanolas/456704770_0.html
10,"Guardiola: ""Llevo fracasando desde que gané el sextete con el Barça""",03-01-2020,https://www.elespanol.com/deportes/futbol/20200103/guardiola-llevo-fracasando-gane-sextete-barcelona/456955245_0.html
11,"Muere Nathael Julan, futbolista de 23 años del Guingamp francés",03-01-2020,https://www.elespanol.com/deportes/futbol/20200103/muere-nathael-julan-futbolista-anos-guingamp-frances/456955274_0.html
12,Istanbul Jews fight to save their ancestral tongue,03-01-2020,https://www.hurriyetdailynews.com/istanbul-jews-fight-to-save-their-ancestral-tongue-150550
13,"Apelación suspende cautelarmente la sanción al Rayo Vallecano por el 'Caso 
Zozulya'",03-01-2020,https://www.elespanol.com/deportes/futbol/20200103/apelacion-suspende-cautelarmente-rayo-vallecano-caso-zozulya/456954731_0.html
14,"Arrimadas responde a los barones del PSOE: ""La dignidad está por encima de 
la sillita""",03-01-2020,https://www.elespanol.com/espana/politica/20200103/arrimadas-responde-barones-psoe-dignidad-encima-sillita/456954613_0.html
15,Aplazado de nuevo el juicio sobre los derechos de imagen de Leo Messi,03-01-2020,https://www.elespanol.com/espana/tribunales/20200103/aplazado-nuevo-juicio-derechos-imagen-leo-messi/456955141_0.html
16,"Cavani espera al Atleti: vía libre del PSG y un gran problema en el 
Metropolitano",03-01-2020,https://www.elespanol.com/deportes/futbol/20200103/cavani-espera-atleti-libre-psg-problema-metropolitano/456954573_0.html
17,"El grupo de falsos policías extremadamente violentos que sembraba el terror 
en comercios de Madrid",03-01-2020,https://www.elespanol.com/espana/20200103/falsos-policias-extremadamente-violentos-sembraba-comercios-madrid/456954612_0.html
