,Titulo,Data,Cluster
0,catalan separatist break spain 's political deadlock,2020-01-02,2
1,"jordi cruyff , plan b robert moreno selección ecuador",2020-01-02,2
2,"un hombre pontevedra cazado hacer 'simpa ' nochevieja tras comer centollo , cigalas chuleta",2020-01-02,2
3,una niña 13 años muere dar luz después ser violada cuatro años padre,2020-01-02,2
4,marlaska confirma transferencia tráfico navarra niega salida guardia civil,2020-01-02,2
5,"ibrahimovic vuelve , triunfa desata pasiones milan : `` esta casa aquí ''",2020-01-02,2
6,la madre mató hija dio 80 pastillas lormetazepam ahogarla bañera,2020-01-02,1
7,vox adueña día toma granada : `` la reconquista terminado '',2020-01-02,1
8,la misteriosa muerte sheila jonan arrasate : violencia coche parado encendido,2020-01-02,1
9,solo 12 mujeres 572 pilotos dakar arabia saudí : españolas mayoría,2020-01-02,2
19,marc-andre ter stegen espanyol clash may miss spanish super cup,2020-01-03,2
17,el grupo falsos policías extremadamente violentos sembraba terror comercios madrid,2020-01-03,2
16,cavani espera atleti : vía libre psg gran problema metropolitano,2020-01-03,2
15,aplazado nuevo juicio derechos imagen leo messi,2020-01-03,2
18,former arsenal loanee denis suarez 's home broken burglar,2020-01-03,2
13,apelación suspende cautelarmente sanción rayo vallecano 'caso zozulya ',2020-01-03,2
12,istanbul jews fight save ancestral tongue,2020-01-03,2
11,"muere nathael julan , futbolista 23 años guingamp francés",2020-01-03,2
10,guardiola : `` llevo fracasando gané sextete barça '',2020-01-03,2
14,arrimadas responde barones psoe : `` la dignidad encima sillita '',2020-01-03,1
20,rufián desafía sánchez : `` sin mesa diálogo legislatura '',2020-01-04,2
21,a look ahead to a more lucrative spanish super cup,2020-01-04,2
22,queda libertad etarra intentó matar rey juan carlos palma mallorca 1995,2020-01-04,2
23,tributes paid uk-based professional sailor died spain,2020-01-04,2
32,investigation launched sudden death woman north belfast,2020-01-05,2
31,rafael nadal like ’ tsunami ’ atp cup influence hailed coach francis roig,2020-01-05,2
30,drunk driver kill six german tourist italy,2020-01-05,2
29,carta múgica sánchez : `` produce náusea investido ayuda fascismo asesinó '',2020-01-05,2
26,balotelli vuelve sufrir racismo campo : interrumpe brescia - lazio,2020-01-05,2
27,barcelona 'leading way sign spanish midfielder dani olmo ',2020-01-05,2
25,aizpurua defiende presos eta otegi ; sánchez calla casado tilda `` nauseabundo '',2020-01-05,2
24,cómo subir plaquetas bajas remedios naturales,2020-01-05,2
28,"sayas , diputado navarro dice bildu sánchez calla : `` fascismo asesinatos eta ''",2020-01-05,2
39,"in eu country , fewer speak national language ...",2020-01-06,2
42,queen letizia spain stuns floor length coat dress join king felipe madrid,2020-01-06,2
41,a policy increase diversity neighbourhood,2020-01-06,2
40,authentic spanish seafood paella recipe,2020-01-06,2
38,real duo bale benzema miss super cup saudi arabia,2020-01-06,2
33,un joven muere tres resultan intoxicados graf casa rural madrid,2020-01-06,2
36,"mónica , auxiliar easyjet , feliz niña : asfixiadas marido despechado",2020-01-06,2
