,Titulo,Ano,Cluster
0,2019 récord donantes trasplantes órganos argentina,2020,0
1,diez años grieta década perdida argentina,2020,0
2,general hera : gigantesco incendio destruyó fábrica fiambres embutidos,2020,0
3,"sale $ 50 , `` todo 2 peso '' renovado",2020,0
4,apps eligen influencers viajes conocer mundo,2020,0
5,jimena barón volvió instagram después polémica video hijo : cuál primer posteo,2020,0
6,​control : radarizadas 12 zona ruta nacionales ...,2020,0
7,papa francisco disculpó reacción feligresa tomó bruscamente mano : “ perdí paciencia ”,2020,0
8,"20 años tomar poder rusia , vladimir putin muchas promesas incumplidas",2020,0
9,leandro n. alem : mujer falleció tras caer ...,2020,0
10,cambio postura alberto fernández muerte nisman expuso documental,2020,0
11,mensaje alberto fernández sindicatos : “ no hagan pedidos desmedidos ”,2020,0
12,"tucumán , ciudad barata país comprar propiedades",2020,0
13,adrián cosentino nuevo presidente cnv,2020,0
14,adiós billetes 5 peso : día comercios deben aceptarlos,2020,0
15,cómo convertirse espía argentina,2020,0
16,insfrán encabezó acto ascensos casi 760 policías ...,2020,0
17,círculo vicioso impaciencia argentina,2020,0
18,cáncer mama : programa inteligencia artificial ayuda evitar diagnósticos fallidos médicos,2020,0
19,abogados evo morale aseguran extraditado,2020,0
20,peleador argentino gana 1 mdd pelea eu ... dice 'tan boludo ' llevar premio casa,2020,0
21,gobierno reafirmó reclamo soberanía argentina islas malvinas,2020,0
22,liberaron 12 millones dosis vacunas retenidas aduana ezeiza,2020,0
23,"suba 48,5 % , recaudación 2019 perdió seis puntos inflación",2020,0
24,lujo morir argentina crisis,2020,0
25,punto punto : dice decreto aumento salarial privados,2020,0
26,busca hit verano 2020 : cuáles temas suenan playa,2020,0
27,"carlos monzón , alain delon noche parís , primer viaje europa horacio pagani",2020,0
28,acceden pensiones contributivas,2020,0
29,outer wild inspiró do juegos zelda,2020,0
30,nuevas recomendaciones vacunación ministerio salud brote sarampión presenta 97 casos,2020,0
31,mónica gutiérrez cruzó canal hablar inseguridad,2020,0
32,fruit populism,2020,0
33,cinco temibles represalias irán evalúa muerte ...,2020,0
34,fin símbolo 90 : cerró último videoclub pilar,2020,0
35,despiadados herederos narco : quiénes cómo operan nuevos líderes grandes cárteles,2020,0
36,rompecorazones figueroa : joven campeón boxeo quiere llegar hollywood,2020,0
37,denuncian rod stewart hijo agresión,2020,0
38,nuevo año : cercos esperanza,2020,0
39,trump : guerra re-elección,2020,0
40,dura crítica argentina venezuela : `` se condena aislamiento internacional '',2020,0
41,diego maradona volvió respaldar nicolás maduro insultó juan guaidó,2020,0
42,"acciones anotaron mejor rally década nivel global , salidas bolsa decepcionaron",2020,0
43,fernando colunga diego boneta : misterio actor interpretará luis miguel,2020,0
44,clausura 2020 : radiografía fichajes prometedores futbol mexicano,2020,0
45,kicillof demora nombramientos empresas provincia siguen manos administración vidal,2020,0
46,día evo morale : recorrió isla maciel anunció primer acto `` porteño '',2020,0
47,"producción automotriz derrumbó 32,5 % 2019 argentina",2020,0
48,celulosa salió default,2020,0
49,¿qué niños índigo convocan multitude ?,2020,0
50,"video : ranking mejores diez alfajores argentina , según creador guaymallén",2020,0
51,nocturns gaming presentó equipo counter strike femenino,2020,0
52,sismo destruyó atractivo turístico puerto rico,2020,0
53,"poder invertir , primero necesita aprender ahorrar",2020,0
54,harvey weinstein acusado violación ángeles comenzar juicio nueva york,2020,0
55,​cientos mile devotos homenajearon gauchito gil ...,2020,0
56,gobierno retiró cartas credenciales embajadora juan guaidó argentina,2020,0
57,afip reglamentó aplicación impuesto pais,2020,0
58,pasajes aerolíneas argentina pagarán impuesto 30 %,2020,0
59,vuelos exterior pagarán impuesto 30 %,2020,0
60,denuncian 3000 feminicidios 2010 2019 ...,2020,0
61,$ 47.000.000 recaudados torneo golf solidario london supply group,2020,0
62,banco central anunció nuevos billetes imprimirán animales,2020,0
63,juanfer quintero intenta volver ser luego tres episodios alteraron días,2020,0
64,empresa default : dulcor comunicó entró cesación pagos,2020,0
65,"gobierno quitó credenciales diplomáticas elisa trotta gamus , embajadora guaidó",2020,0
66,discordia grandes fútbol argentino reinicio torneo : cuál postura cada,2020,0
67,encuesta : opinan argentinos donald trump,2020,0
68,"argentina , escalón alto presión impositiva producción",2020,0
69,"video : asus rog presenta nuevas computadoras , diseño compatible juego día día",2020,0
70,cobrar tiempos crisis : haciendo pymes recomiendan especialistas,2020,0
71,ahorro playa : beneficios bancarios disfrutar verano 2020 costa,2020,0
72,criba crece basada innovación trabajo equipo,2020,0
73,academia críticas peso : implacables respuestas danna paola escándalos,2020,0
74,tres ejes lograr globalización justa,2020,0
75,recorría playas florida detector metales encontró mina segunda guerra mundial,2020,0
76,"sólo tres me desembarco argentina , empresa monopatines lime cierra operaciones país",2020,0
77,arcor busca expandirse méxico áfrica ...,2020,0
78,margarita barrientos confirmó suma plan argentina ...,2020,0
79,"¿qué enfermedad lyme , afección contrajo ...",2020,0
80,maría carmen bianchi vuelve frente comisión nacional bibliotecas populares,2020,0
81,cuáles ventajas argentinos deciden mudarse uruguay objetivo obtener alivio pago impuestos,2020,0
82,"brancatelli ocupará cargo político pilar , abandonará rol medios",2020,0
83,"fran drescher , niñera llegará musical broadway",2020,0
84,"balacera do horas , narcobloqueos sicario abatido : violento ataque desatado tamaulipas",2020,0
85,fotografía vicky aranda galería internacional italia,2020,0
86,"murió elena cruz , actriz reivindicado videla",2020,0
87,"primera renuncia gestión fernández : “ enfrentamientos ” , subsecretario energía nombrado hace do días",2020,0
88,sergio berni propuso `` uno uno ” presos bonaerenses : año trabajo menos condena,2020,0
89,sábado realizará capacitación cuidado flora autóctona,2020,0
90,impactante accidente sufrió guillermo marín milagrosamente resultó ileso,2020,0
91,así emotiva liberación osos pardos zoológico mendoza,2020,0
92,reunión secreta barcelona xavi reemplazar ernesto valverde,2020,0
93,"meghan markle , princesa inglaterra vivió seis me argentina",2020,0
94,donald trump pronunció # megxit : “ esto debería pasarle reina isabel ”,2020,0
95,¿cómo restaurante italiano comen mejores pasta josé ignacio ?,2020,0
96,fontanarrosa forma vivir morir argentina,2020,0
97,ee.uu . condenó `` negligencia '' irán derribar avión ucraniano,2020,0
98,atropelló mató hombre salida boliche congreso : drogado quiso escapar,2020,0
99,"después romper realeza británica , meghan markle firmó disney",2020,0
100,video : guillermo francella defiende gobierno mauricio macri,2020,0
101,zlatan ibrahimovic debutó titular marcó primer gol milán,2020,0
102,gianfranco macri muda uruguay nuevo clima político,2020,0
103,salió luz video diego costa dejó ko masajista chelsea combate boxeo,2020,0
104,primera salida teatral mirtha legrand mar plata : obra eligió,2020,0
105,nunca psu : crónica egreso argentina,2020,0
106,18 medidas destacó fernández balance primer me gestión,2020,0
107,cristina llega noche buenos aire cuba,2020,0
108,"coparticipación impositiva , pelea histórica asignaturas pendientes",2020,0
109,cuáles principales desafíos empresas años '20,2020,0
110,"juan salerno , head portfolio manager compass group : `` argentina depende éxito reestructuración ''",2020,0
111,"hernán lavandera , jefe puerto punta este : “ este año concurrencia navegantes argentinos sensiblemente menor ”",2020,0
112,"tras vuelta iva , impuestos representan 41 % precio alimentos",2020,0
113,“ un violador camino ” momentos icónicos marcaron himno feminista,2020,0
114,alejandra guzmán volvió aparecer redes mientras hija frida sofía ignora,2020,0
115,"asistencia dybala gol ronaldo , juventus superó rom quedó único líder serie",2020,0
116,alberto fernández eligió embajador vaticano dijo gustaría reunirse papa francisco,2020,0
117,"10 mejores goles kun agüero , hombre récord premier league",2020,0
118,obtengan crédito hipotecario podrán comprar u $ s 100.000 pagar 30 %,2020,0
119,¿por celebra día pastelero ?,2020,0
120,reestructuración quita quita : cuánto valdrían bonos canje,2020,0
121,"monedas américa latina-divisas región moverán pendientes tensión oriente medio , firma pacto eeuu-china",2020,0
122,simeone elogia valverde falta dejó vivo madrid supercopa,2020,0
123,gonzalo heredia reunió fernández kicillof,2020,0
124,"relación venezuela sistema antiaéreo tor-m1 , mismo irán derribó error avión ucraniano",2020,0
125,indonesian city order lgbt+ raid uk convict serial rapist,2020,0
126,comerciantes piden bcra estire vigencia billete $ 5 seis me,2020,0
127,primero cuatro buques comprados patrullar ...,2020,0
128,"pick ups , plane ahorro producir exportar : plan fiat 2020",2020,0
129,"encontró cheque $ 2 millones , devolvió dieron pala recompensa",2020,0
130,"tras salir default técnico , celulosa argentina anunció pérdidas $ 955 millones",2020,0
131,deuda externa : argentina debe u $ s 110 ...,2020,0
132,caída producción duraznos podría disparar precio góndola,2020,0
133,polémica publicidad cerveza : advierten “ exponencial ” crecimiento consumo argentina,2020,0
134,lados longboard,2020,0
135,"chimy ávila , argentino sensación españa suena barcelona",2020,0
136,argentina ocupa 4° lugar ranking mundial inflación,2020,0
137,josé `` pepe '' mujica opuso `` traer 100 mil cagadores argentinos '' uruguay,2020,0
138,argentina export : agenda 2020 exposiciones,2020,0
139,medvedev anuncia dimisión gobierno ruso ...,2020,0
140,hacer angra do real deberías saber,2020,0
141,inflación macri : fracaso monetarista,2020,0
142,inesperada confesión lionel messi duelo cristiano ronaldo,2020,0
143,fortnite sumará skin inspirado popular streamer ninja,2020,0
144,“ no paro llorar hicieron ” : crudo testimonio joven descubrió grupo rugbiers compartía fotos íntimas consentimiento,2020,0
145,"murió diego rentería “ el pulpomo ” , conductor deportivo televisa",2020,0
146,japón confirma primer caso infección nuevo virus china,2020,0
147,dijo lautaro martínez interés barcelona contratarlo,2020,0
148,horarios días sorteos loterías quinielas argentina,2020,0
149,violencia méxico : cuánto creció percepción inseguridad ciudadanos,2020,0
150,guía definitiva saber `` ahorrar '' argentina cepo dólar alberto,2020,0
151,cómo pedirle netflix sume película serie portal,2020,0
152,nicky jam reúne smith yankee “ bad boy ”,2020,0
153,"cruda confesión nicolás kicker , suspendido atp arreglar partidos : cómo interceptado , estrategia apostadores “ la peor consecuencia ”",2020,0
154,murió hombre asesinado mujer martillazos pilar,2020,0
155,video : mujer desnuda aeropuerto miami sorprende,2020,0
156,banco central estira plazos leliq 14 días,2020,0
157,41 pasajeros pasaron aeropuertos aa200 2019,2020,0
158,polémica do referentes alimentación : médica mónica katz mandó carta documento,2020,0
159,ciudad argentina eligió niro favorita,2020,0
160,encontraron cuerpo remisero desaparecido boca tormenta benavídez,2020,0
161,economist criticó `` opaca política monetaria '' bcra,2020,0
162,lanzamiento fiesta nacional corvina 2020,2020,0
163,médico cardiólogo nicolás gonzalez habló adicciones,2020,0
164,uif apeló sobreseimiento ex gobernadores hija hebe bonafini causa sueños compartidos,2020,0
165,federico álvarez castillo : “ yo saqué cordero agua regalé ”,2020,0
166,"murió juan carlos saravia , histórico líder chalchaleros",2020,0
167,"nisman , cinco años después : cuál causa investiga muerte",2020,0
168,¿homicidio suicidio ? peritos pusieron acuerdo,2020,0
169,"homenaje alberto nisman 5 años muerte : “ no suicidio , magnicidio ”",2020,0
170,mega contrato mercedes ofrecería hamilton revolucionar fórmula 1,2020,0
171,argentina record highest inflation rate since 1991,2020,0
172,delincuentes robaron boletería terminal puerto ...,2020,0
