,Titulo,Data,URL da noticia,Ano,Cluster
0,en 2019 récord donantes trasplantes órganos argentina,2020-01-01,https://www.perfil.com/noticias/salud/2019-record-donantes-y-trasplantes-de-organos-argentina.phtml,2020,0
1,diez años grieta década perdida argentina,2020-01-01,https://www.cronista.com/columnistas/Diez-anos-de-grieta-son-una-decada-perdida-para-la-Argentina-20200101-0014.html,2020,0
2,general las heras : gigantesco incendio destruyó fábrica fiambres embutidos,2020-01-01,https://www.perfil.com/noticias/actualidad/general-las-heras-gigantesco-incendio-destruyo-fabrica-de-fiambres-y-embutidos.phtml,2020,3
3,"sale $ 50 , `` todo 2 peso '' renovado",2020-01-01,https://www.cronista.com/pyme/negocios-pyme/Sale-50-un-todo-por-2-pesos-renovado-20200101-0001.html,2020,3
4,las apps eligen influencers viajes conocer mundo,2020-01-01,https://www.infobae.com/turismo/2020/01/01/las-apps-que-eligen-los-influencers-de-viajes-para-conocer-el-mundo/,2020,3
5,jimena barón volvió instagram después polémica video hijo : cuál primer posteo,2020-01-01,https://www.infobae.com/teleshow/infoshow/2020/01/01/jimena-baron-volvio-a-instagram-despues-de-la-polemica-por-el-video-con-su-hijo-cual-fue-su-primer-posteo/,2020,3
6,​control : radarizadas 12 zona ruta nacionales ...,2020-01-01,https://diariolarepublica.com.ar/notix/noticia/18759/control-estn-radarizadas-12-zonas-en-las-rutas-nacionales-correntinas----.html,2020,3
7,el papa francisco disculpó reacción feligresa tomó bruscamente mano : “ perdí paciencia ”,2020-01-01,https://www.infobae.com/america/mundo/2020/01/01/el-papa-francisco-se-disculpo-por-su-reaccion-con-una-feligresa-que-lo-tomo-bruscamente-de-la-mano-perdi-la-paciencia/,2020,3
8,"a 20 años tomar poder rusia , vladimir putin muchas promesas incumplidas",2020-01-01,https://www.perfil.com/noticias/internacional/a-20-anos-de-tomar-el-poder-en-rusia-vladimir-putin-tiene-muchas-promesas-incumplidas.phtml,2020,3
9,leandro n. alem : mujer falleció tras caer ...,2020-01-01,https://misionesonline.net/2020/01/01/leandro-n-alem-una-mujer-fallecio-tras-caer-de-una-motocicleta-en-la-que-iba-de-acompanante/,2020,3
10,"legalizan cannabis illinois , ee.uu .",2020-01-01,https://www.elcomercio.com/actualidad/mundo/legalizacion-cannabis-recreacional-illinois-eeuu.html,2020,3
11,ocho patrimonios humanidad custodia ecuador,2020-01-01,https://www.eluniverso.com/noticias/2019/12/31/nota/7671822/patrimonio-humanidad-ecuador-unesco/,2020,3
