,Titulo,Data,Cluster,Ano
0,en 2019 récord donantes trasplantes órganos argentina,2020-01-01,2,2020
1,diez años grieta década perdida argentina,2020-01-01,2,2020
2,general las heras : gigantesco incendio destruyó fábrica fiambres embutidos,2020-01-01,2,2020
3,"sale $ 50 , `` todo 2 peso '' renovado",2020-01-01,2,2020
4,las apps eligen influencers viajes conocer mundo,2020-01-01,2,2020
5,jimena barón volvió instagram después polémica video hijo : cuál primer posteo,2020-01-01,2,2020
6,​control : radarizadas 12 zona ruta nacionales ...,2020-01-01,2,2020
7,el papa francisco disculpó reacción feligresa tomó bruscamente mano : “ perdí paciencia ”,2020-01-01,2,2020
8,"a 20 años tomar poder rusia , vladimir putin muchas promesas incumplidas",2020-01-01,2,2020
9,leandro n. alem : mujer falleció tras caer ...,2020-01-01,2,2020
10,"legalizan cannabis illinois , ee.uu .",2020-01-01,2,2020
11,ocho patrimonios humanidad custodia ecuador,2020-01-01,2,2020
12,"qatar boeing realizan 7 vuelos entrega , ida vuelta",2020-01-01,2,2020
13,el cambio postura alberto fernández muerte nisman expuso documental,2020-01-02,2,2020
14,el mensaje alberto fernández sindicatos : “ no hagan pedidos desmedidos ”,2020-01-02,2,2020
15,"tucumán , ciudad barata país comprar propiedades",2020-01-02,2,2020
16,adrián cosentino nuevo presidente cnv,2020-01-02,2,2020
17,adiós billetes 5 peso : día comercios deben aceptarlos,2020-01-02,2,2020
18,cómo convertirse espía argentina,2020-01-02,2,2020
19,insfrán encabezó acto ascensos casi 760 policías ...,2020-01-02,2,2020
20,el círculo vicioso impaciencia argentina,2020-01-02,2,2020
21,cáncer mama : programa inteligencia artificial ayuda evitar diagnósticos fallidos médicos,2020-01-02,2,2020
22,abogados evo morales aseguran extraditado,2020-01-02,2,2020
23,"jordi cruyff , plan b robert moreno selección ecuador",2020-01-02,2,2020
24,aberrante espectáculo viudas fin año,2020-01-02,2,2020
25,"barcelona sc nutrió campeón , delfín , afrontar ...",2020-01-02,2,2020
26,amenazas aumentan tiburones ; ...,2020-01-02,2,2020
27,el municipio ambato cobra impuestos 92 244 predios,2020-01-02,2,2020
28,china-ecuador : 40 años relaciones bilaterales ( o ...,2020-01-02,2,2020
29,puesta sol boa vista,2020-01-02,2,2020
30,praga cambium fuego artificiales año nuevo juego ...,2020-01-02,2,2020
31,masacre cárcel méxico : partido fútbol acaba 16 reclusos muertos,2020-01-02,2,2020
32,quit your job and live abroad : 10 places so cheap you ...,2020-01-02,2,2020
33,peleador argentino gana 1 mdd pelea eu ... dice 'tan boludo ' llevar premio casa,2020-01-03,2,2020
34,el gobierno reafirmó reclamo soberanía argentina islas malvinas,2020-01-03,2,2020
35,liberaron 12 millones dosis vacunas retenidas aduana ezeiza,2020-01-03,2,2020
36,"con suba 48,5 % , recaudación 2019 perdió seis puntos inflación",2020-01-03,2,2020
37,el lujo morir argentina crisis,2020-01-03,2,2020
38,punto punto : dice decreto aumento salarial privados,2020-01-03,2,2020
39,en busca hit verano 2020 : cuáles temas suenan playa,2020-01-03,2,2020
40,"carlos monzón , alain delon noche parís , primer viaje europa horacio pagani",2020-01-03,2,2020
41,quienes acceden pensiones contributivas,2020-01-03,2,2020
42,outer wilds inspiró do juegos zelda,2020-01-03,2,2020
43,el banco ecuatoriano vivienda atenderá clientes ...,2020-01-03,2,2020
44,"napo nueva prefecta , tras deceso édison ...",2020-01-03,2,2020
45,petroamazonas ep incrementó 4 % producción petrolera ...,2020-01-03,2,2020
46,innovative programme help lift venezuelan refugee ...,2020-01-03,2,2020
47,en cotacachi preocupación muerte masiva ...,2020-01-03,2,2020
48,unrest latin america make authoritarianism look appealing,2020-01-03,2,2020
49,sismo frontera perú sintió 5 provincias,2020-01-03,2,2020
50,50 taludes sensibles sido identificados av . simón ...,2020-01-03,2,2020
51,condenan 16 años prisión docente detenido operativo pornografía infantil,2020-01-03,2,2020
52,wisin cerró 2019 renovación matrimonio,2020-01-03,2,2020
53,nuevas recomendaciones vacunación ministerio salud brote sarampión presenta 97 casos,2020-01-04,2,2020
54,mónica gutiérrez cruzó canal hablar inseguridad,2020-01-04,2,2020
55,the fruit populism,2020-01-04,2,2020
56,las cinco temibles represalias irán evalúa muerte ...,2020-01-04,2,2020
57,fin símbolo 90 : cerró último videoclub pilar,2020-01-04,2,2020
58,los despiadados herederos narco : quiénes cómo operan nuevos líderes grandes cárteles,2020-01-04,2,2020
59,el rompecorazones figueroa : joven campeón boxeo quiere llegar hollywood,2020-01-04,2,2020
60,denuncian rod stewart hijo agresión,2020-01-04,2,2020
61,nuevo año : entre cercos esperanza,2020-01-04,2,2020
62,trump : guerra re-elección,2020-01-04,2,2020
63,representante ecuador onu : 'el año 2019 ...,2020-01-04,2,2020
64,la memoria ecuatoriana nueva casa,2020-01-04,2,2020
65,nuevo año : entre cercos esperanza,2020-01-04,2,2020
66,la lucha plástico crece,2020-01-04,2,2020
67,cuatro militares murieron accidente avenida simón ...,2020-01-04,2,2020
68,el caimán rescatado laguna yahuarcocha ...,2020-01-04,2,2020
69,yunda socializa proyecto modernización terminal ...,2020-01-04,2,2020
70,la aviación sigue siendo medio transporte seguro ...,2020-01-04,2,2020
71,argentino vigevani dirigirá binacional perú | noticias ...,2020-01-04,2,2020
72,dura crítica argentina venezuela : `` se condena aislamiento internacional '',2020-01-05,2,2020
73,diego maradona volvió respaldar nicolás maduro insultó juan guaidó,2020-01-05,2,2020
74,"las acciones anotaron mejor rally década nivel global , salidas bolsa decepcionaron",2020-01-05,2,2020
75,entre fernando colunga diego boneta : misterio actor interpretará luis miguel,2020-01-05,2,2020
76,clausura 2020 : radiografía fichajes prometedores futbol mexicano,2020-01-05,2,2020
77,kicillof demora nombramientos empresas provincia siguen manos administración vidal,2020-01-05,2,2020
78,exgobernador acusado delito ambiental hijo ...,2020-01-05,2,2020
79,tumbes : condenado proxeneta pasco visitante ...,2020-01-05,2,2020
80,puntualidad aerolíneas latinoamérica 2019 ...,2020-01-05,2,2020
81,cruceros cambian combustible reducir contaminación,2020-01-05,2,2020
82,esta estrategia huawei impulsar hms ...,2020-01-05,2,2020
83,"familiares fan recordaron partida cantante sharon , hechicera",2020-01-05,2,2020
84,un día evo morales : recorrió isla maciel anunció primer acto `` porteño '',2020-01-06,2,2020
85,"producción automotriz derrumbó 32,5 % 2019 argentina",2020-01-06,2,2020
86,celulosa salió default,2020-01-06,2,2020
