,Titulo,Data,URL da noticia
0,En 2019 hubo récord de donantes y trasplantes de órganos en Argentina,01-01-2020,https://www.perfil.com/noticias/salud/2019-record-donantes-y-trasplantes-de-organos-argentina.phtml
1,Diez años de grieta son una década perdida para la Argentina,01-01-2020,https://www.cronista.com/columnistas/Diez-anos-de-grieta-son-una-decada-perdida-para-la-Argentina-20200101-0014.html
2,"General Las Heras: gigantesco incendio destruyó fábrica de fiambres y 
embutidos",01-01-2020,https://www.perfil.com/noticias/actualidad/general-las-heras-gigantesco-incendio-destruyo-fabrica-de-fiambres-y-embutidos.phtml
3,"Sale $ 50, un ""todo por 2 pesos"" renovado",01-01-2020,https://www.cronista.com/pyme/negocios-pyme/Sale-50-un-todo-por-2-pesos-renovado-20200101-0001.html
4,Las apps que eligen los influencers de viajes para conocer el mundo,01-01-2020,https://www.infobae.com/turismo/2020/01/01/las-apps-que-eligen-los-influencers-de-viajes-para-conocer-el-mundo/
5,"Jimena Barón volvió a Instagram después de la polémica por el video con su 
hijo: cuál fue su primer posteo",01-01-2020,https://www.infobae.com/teleshow/infoshow/2020/01/01/jimena-baron-volvio-a-instagram-despues-de-la-polemica-por-el-video-con-su-hijo-cual-fue-su-primer-posteo/
6,​Control: están radarizadas 12 zonas en las rutas nacionales ...,01-01-2020,https://diariolarepublica.com.ar/notix/noticia/18759/control-estn-radarizadas-12-zonas-en-las-rutas-nacionales-correntinas----.html
7,"El papa Francisco se disculpó por su reacción con una feligresa que lo tomó 
bruscamente de la mano: “Perdí la paciencia”",01-01-2020,https://www.infobae.com/america/mundo/2020/01/01/el-papa-francisco-se-disculpo-por-su-reaccion-con-una-feligresa-que-lo-tomo-bruscamente-de-la-mano-perdi-la-paciencia/
8,"A 20 años de tomar el poder en Rusia, Vladimir Putin tiene muchas promesas 
incumplidas",01-01-2020,https://www.perfil.com/noticias/internacional/a-20-anos-de-tomar-el-poder-en-rusia-vladimir-putin-tiene-muchas-promesas-incumplidas.phtml
9,Leandro N. Alem: una mujer falleció tras caer de una ...,01-01-2020,https://misionesonline.net/2020/01/01/leandro-n-alem-una-mujer-fallecio-tras-caer-de-una-motocicleta-en-la-que-iba-de-acompanante/
10,"El cambio de postura de Alberto Fernández sobre la muerte de Nisman que 
expuso un documental",02-01-2020,https://www.cronista.com/economia-politica/El-cambio-de-postura-de-Alberto-Fernandez-sobre-la-muerte-de-Nisman-que-expuso-un-documental-20200102-0003.html
11,"El mensaje de Alberto Fernández a los sindicatos: “No hagan pedidos 
desmedidos”",02-01-2020,https://www.infobae.com/politica/2020/01/02/el-mensaje-de-alberto-fernandez-a-los-sindicatos-no-hagan-pedidos-desmedidos/
