,Date,Confirmed,Recovered,Deaths,Ano
0,2020-01-22,0,0.0,0,2020
1,2020-01-23,0,0.0,0,2020
2,2020-01-24,0,0.0,0,2020
3,2020-01-25,0,0.0,0,2020
4,2020-01-26,0,0.0,0,2020
5,2020-01-27,0,0.0,0,2020
6,2020-01-28,0,0.0,0,2020
7,2020-01-29,0,0.0,0,2020
8,2020-01-30,0,0.0,0,2020
9,2020-01-31,0,0.0,0,2020
10,2020-02-01,0,0.0,0,2020
11,2020-02-02,0,0.0,0,2020
12,2020-02-03,0,0.0,0,2020
13,2020-02-04,0,0.0,0,2020
14,2020-02-05,0,0.0,0,2020
15,2020-02-06,0,0.0,0,2020
16,2020-02-07,0,0.0,0,2020
17,2020-02-08,0,0.0,0,2020
18,2020-02-09,0,0.0,0,2020
19,2020-02-10,0,0.0,0,2020
20,2020-02-11,0,0.0,0,2020
21,2020-02-12,0,0.0,0,2020
22,2020-02-13,0,0.0,0,2020
23,2020-02-14,0,0.0,0,2020
24,2020-02-15,0,0.0,0,2020
25,2020-02-16,0,0.0,0,2020
26,2020-02-17,0,0.0,0,2020
27,2020-02-18,0,0.0,0,2020
28,2020-02-19,0,0.0,0,2020
29,2020-02-20,0,0.0,0,2020
30,2020-02-21,0,0.0,0,2020
31,2020-02-22,0,0.0,0,2020
32,2020-02-23,0,0.0,0,2020
33,2020-02-24,0,0.0,0,2020
34,2020-02-25,0,0.0,0,2020
35,2020-02-26,0,0.0,0,2020
36,2020-02-27,0,0.0,0,2020
37,2020-02-28,0,0.0,0,2020
38,2020-02-29,0,0.0,0,2020
39,2020-03-01,0,0.0,0,2020
40,2020-03-02,0,0.0,0,2020
41,2020-03-03,1,0.0,0,2020
42,2020-03-04,1,0.0,0,2020
43,2020-03-05,1,0.0,0,2020
44,2020-03-06,2,0.0,0,2020
45,2020-03-07,8,0.0,0,2020
46,2020-03-08,12,0.0,1,2020
47,2020-03-09,12,0.0,1,2020
48,2020-03-10,17,0.0,1,2020
49,2020-03-11,19,0.0,1,2020
50,2020-03-12,19,0.0,1,2020
51,2020-03-13,31,0.0,2,2020
52,2020-03-14,34,1.0,2,2020
53,2020-03-15,45,1.0,2,2020
54,2020-03-16,56,1.0,2,2020
55,2020-03-17,68,3.0,2,2020
56,2020-03-18,79,3.0,2,2020
57,2020-03-19,97,3.0,3,2020
58,2020-03-20,128,3.0,3,2020
59,2020-03-21,158,3.0,4,2020
60,2020-03-22,266,3.0,4,2020
61,2020-03-23,301,3.0,4,2020
62,2020-03-24,387,52.0,6,2020
63,2020-03-25,387,52.0,8,2020
64,2020-03-26,502,63.0,9,2020
65,2020-03-27,589,72.0,13,2020
66,2020-03-28,690,72.0,18,2020
67,2020-03-29,745,72.0,19,2020
68,2020-03-30,820,228.0,23,2020
69,2020-03-31,1054,240.0,27,2020
70,2020-04-01,1054,248.0,28,2020
71,2020-04-02,1133,256.0,36,2020
72,2020-04-03,1265,266.0,39,2020
73,2020-04-04,1451,279.0,43,2020
74,2020-04-05,1451,280.0,44,2020
75,2020-04-06,1554,325.0,48,2020
76,2020-04-07,1628,338.0,56,2020
77,2020-04-08,1715,358.0,63,2020
78,2020-04-09,1795,365.0,72,2020
79,2020-04-10,1975,375.0,82,2020
80,2020-04-11,1975,440.0,83,2020
81,2020-04-12,2142,468.0,90,2020
82,2020-04-13,2208,515.0,97,2020
83,2020-04-14,2277,559.0,102,2020
84,2020-04-15,2443,596.0,111,2020
85,2020-04-16,2571,631.0,115,2020
86,2020-04-17,2669,666.0,123,2020
87,2020-04-18,2758,685.0,129,2020
88,2020-04-19,2839,709.0,132,2020
89,2020-04-20,2941,737.0,136,2020
90,2020-04-21,3031,840.0,147,2020
91,2020-04-22,3144,872.0,152,2020
92,2020-04-23,3435,919.0,165,2020
93,2020-04-24,3607,976.0,176,2020
94,2020-04-25,3780,1030.0,185,2020
95,2020-04-26,3892,1107.0,192,2020
96,2020-04-27,4003,1140.0,197,2020
97,2020-04-28,4127,1162.0,207,2020
98,2020-04-29,4285,1192.0,214,2020
99,2020-04-30,4428,1256.0,218,2020
100,2020-05-01,4532,1292.0,225,2020
101,2020-05-02,4681,1320.0,237,2020
102,2020-05-03,4783,1354.0,246,2020
103,2020-05-04,4887,1442.0,260,2020
104,2020-05-05,5020,1472.0,264,2020
105,2020-05-06,5208,1524.0,273,2020
106,2020-05-07,5371,1601.0,282,2020
107,2020-05-08,5611,1659.0,293,2020
108,2020-05-09,5776,1728.0,300,2020
109,2020-05-10,6034,1757.0,305,2020
110,2020-05-11,6278,1837.0,314,2020
111,2020-05-12,6563,1862.0,319,2020
112,2020-05-13,6879,2266.0,329,2020
113,2020-05-14,7134,2385.0,353,2020
114,2020-05-15,7479,2497.0,356,2020
115,2020-05-16,7805,2534.0,363,2020
116,2020-05-17,8068,2569.0,373,2020
