,Date,Confirmed,Recovered,Deaths,Ano
0,2020-01-22,0,0.0,0,2020
1,2020-01-23,0,0.0,0,2020
2,2020-01-24,0,0.0,0,2020
3,2020-01-25,0,0.0,0,2020
4,2020-01-26,0,0.0,0,2020
5,2020-01-27,0,0.0,0,2020
6,2020-01-28,0,0.0,0,2020
7,2020-01-29,0,0.0,0,2020
8,2020-01-30,0,0.0,0,2020
9,2020-01-31,0,0.0,0,2020
10,2020-02-01,0,0.0,0,2020
11,2020-02-02,0,0.0,0,2020
12,2020-02-03,0,0.0,0,2020
13,2020-02-04,0,0.0,0,2020
14,2020-02-05,0,0.0,0,2020
15,2020-02-06,0,0.0,0,2020
16,2020-02-07,0,0.0,0,2020
17,2020-02-08,0,0.0,0,2020
18,2020-02-09,0,0.0,0,2020
19,2020-02-10,0,0.0,0,2020
20,2020-02-11,0,0.0,0,2020
21,2020-02-12,0,0.0,0,2020
22,2020-02-13,0,0.0,0,2020
23,2020-02-14,0,0.0,0,2020
24,2020-02-15,0,0.0,0,2020
25,2020-02-16,0,0.0,0,2020
26,2020-02-17,0,0.0,0,2020
27,2020-02-18,0,0.0,0,2020
28,2020-02-19,0,0.0,0,2020
29,2020-02-20,0,0.0,0,2020
30,2020-02-21,0,0.0,0,2020
31,2020-02-22,0,0.0,0,2020
32,2020-02-23,0,0.0,0,2020
33,2020-02-24,0,0.0,0,2020
34,2020-02-25,0,0.0,0,2020
35,2020-02-26,0,0.0,0,2020
36,2020-02-27,0,0.0,0,2020
37,2020-02-28,1,0.0,0,2020
38,2020-02-29,4,0.0,0,2020
39,2020-03-01,5,0.0,0,2020
40,2020-03-02,5,0.0,0,2020
41,2020-03-03,5,1.0,0,2020
42,2020-03-04,5,1.0,0,2020
43,2020-03-05,5,1.0,0,2020
44,2020-03-06,6,1.0,0,2020
45,2020-03-07,6,1.0,0,2020
46,2020-03-08,7,1.0,0,2020
47,2020-03-09,7,1.0,0,2020
48,2020-03-10,7,4.0,0,2020
49,2020-03-11,8,4.0,0,2020
50,2020-03-12,12,4.0,0,2020
51,2020-03-13,26,4.0,0,2020
52,2020-03-14,41,4.0,0,2020
53,2020-03-15,53,4.0,0,2020
54,2020-03-16,82,4.0,0,2020
55,2020-03-17,93,4.0,0,2020
56,2020-03-18,118,4.0,0,2020
57,2020-03-19,164,4.0,1,2020
58,2020-03-20,203,4.0,2,2020
59,2020-03-21,251,4.0,2,2020
60,2020-03-22,316,4.0,3,2020
61,2020-03-23,367,4.0,4,2020
62,2020-03-24,405,4.0,5,2020
63,2020-03-25,475,4.0,6,2020
64,2020-03-26,585,4.0,8,2020
65,2020-03-27,717,4.0,12,2020
66,2020-03-28,848,4.0,16,2020
67,2020-03-29,993,4.0,20,2020
68,2020-03-30,1094,35.0,28,2020
69,2020-03-31,1215,35.0,29,2020
70,2020-04-01,1378,35.0,37,2020
71,2020-04-02,1510,35.0,50,2020
72,2020-04-03,1688,633.0,60,2020
73,2020-04-04,1890,633.0,79,2020
74,2020-04-05,2143,633.0,94,2020
75,2020-04-06,2439,633.0,125,2020
76,2020-04-07,2785,633.0,141,2020
77,2020-04-08,3181,633.0,174,2020
78,2020-04-09,3441,633.0,194,2020
79,2020-04-10,3844,633.0,233,2020
80,2020-04-11,4219,633.0,273,2020
81,2020-04-12,4661,1772.0,296,2020
82,2020-04-13,5014,1843.0,332,2020
83,2020-04-14,5399,1964.0,406,2020
84,2020-04-15,5847,2125.0,449,2020
85,2020-04-16,6297,2125.0,486,2020
86,2020-04-17,6875,2125.0,546,2020
87,2020-04-18,7497,2125.0,650,2020
88,2020-04-19,8261,2627.0,686,2020
89,2020-04-20,8772,2627.0,712,2020
90,2020-04-21,9501,2627.0,857,2020
91,2020-04-22,10544,2627.0,970,2020
92,2020-04-23,11633,2627.0,1069,2020
93,2020-04-24,12872,2627.0,1221,2020
94,2020-04-25,13842,7149.0,1305,2020
95,2020-04-26,14677,8354.0,1351,2020
96,2020-04-27,15529,9086.0,1434,2020
97,2020-04-28,16752,11423.0,1569,2020
98,2020-04-29,17799,11423.0,1732,2020
99,2020-04-30,19224,11423.0,1859,2020
100,2020-05-01,20739,12377.0,1972,2020
101,2020-05-02,22088,12377.0,2061,2020
102,2020-05-03,23471,13447.0,2154,2020
103,2020-05-04,24905,13447.0,2271,2020
104,2020-05-05,26025,16810.0,2507,2020
105,2020-05-06,27634,17781.0,2704,2020
106,2020-05-07,29616,17781.0,2961,2020
107,2020-05-08,31522,20314.0,3160,2020
108,2020-05-09,33460,21824.0,3353,2020
109,2020-05-10,35022,21824.0,3465,2020
110,2020-05-11,36327,23100.0,3573,2020
111,2020-05-12,38324,25935.0,3926,2020
112,2020-05-13,40186,26990.0,4220,2020
113,2020-05-14,42595,28475.0,4477,2020
114,2020-05-15,45032,30451.0,4767,2020
115,2020-05-16,47144,31848.0,5045,2020
