,Date,Confirmed,Recovered,Deaths,Ano
0,2020-01-22,0,0.0,0,2020
1,2020-01-23,0,0.0,0,2020
2,2020-01-24,0,0.0,0,2020
3,2020-01-25,0,0.0,0,2020
4,2020-01-26,0,0.0,0,2020
5,2020-01-27,0,0.0,0,2020
6,2020-01-28,0,0.0,0,2020
7,2020-01-29,0,0.0,0,2020
8,2020-01-30,0,0.0,0,2020
9,2020-01-31,0,0.0,0,2020
10,2020-02-01,0,0.0,0,2020
11,2020-02-02,0,0.0,0,2020
12,2020-02-03,0,0.0,0,2020
13,2020-02-04,0,0.0,0,2020
14,2020-02-05,0,0.0,0,2020
15,2020-02-06,0,0.0,0,2020
16,2020-02-07,0,0.0,0,2020
17,2020-02-08,0,0.0,0,2020
18,2020-02-09,0,0.0,0,2020
19,2020-02-10,0,0.0,0,2020
20,2020-02-11,0,0.0,0,2020
21,2020-02-12,0,0.0,0,2020
22,2020-02-13,0,0.0,0,2020
23,2020-02-14,0,0.0,0,2020
24,2020-02-15,0,0.0,0,2020
25,2020-02-16,0,0.0,0,2020
26,2020-02-17,0,0.0,0,2020
27,2020-02-18,0,0.0,0,2020
28,2020-02-19,0,0.0,0,2020
29,2020-02-20,0,0.0,0,2020
30,2020-02-21,0,0.0,0,2020
31,2020-02-22,0,0.0,0,2020
32,2020-02-23,2,0.0,0,2020
33,2020-02-24,2,0.0,0,2020
34,2020-02-25,2,0.0,0,2020
35,2020-02-26,2,0.0,0,2020
36,2020-02-27,2,0.0,0,2020
37,2020-02-28,2,0.0,0,2020
38,2020-02-29,2,0.0,0,2020
39,2020-03-01,9,0.0,0,2020
40,2020-03-02,9,0.0,0,2020
41,2020-03-03,10,0.0,0,2020
42,2020-03-04,10,0.0,0,2020
43,2020-03-05,13,0.0,0,2020
44,2020-03-06,13,0.0,0,2020
45,2020-03-07,13,0.0,0,2020
46,2020-03-08,20,0.0,0,2020
47,2020-03-09,20,0.0,0,2020
48,2020-03-10,25,0.0,0,2020
49,2020-03-11,35,0.0,0,2020
50,2020-03-12,35,0.0,0,2020
51,2020-03-13,55,0.0,0,2020
52,2020-03-14,88,0.0,0,2020
53,2020-03-15,101,0.0,0,2020
54,2020-03-16,182,0.0,0,2020
55,2020-03-17,228,0.0,0,2020
56,2020-03-18,265,0.0,0,2020
57,2020-03-19,265,0.0,0,2020
58,2020-03-20,461,6.0,0,2020
59,2020-03-21,592,6.0,0,2020
60,2020-03-22,687,8.0,1,2020
61,2020-03-23,801,8.0,2,2020
62,2020-03-24,977,17.0,2,2020
63,2020-03-25,1197,22.0,3,2020
64,2020-03-26,1361,22.0,4,2020
65,2020-03-27,1665,43.0,5,2020
66,2020-03-28,2015,61.0,6,2020
67,2020-03-29,2245,75.0,7,2020
68,2020-03-30,2555,156.0,8,2020
69,2020-03-31,2844,156.0,12,2020
70,2020-04-01,3137,234.0,16,2020
71,2020-04-02,3510,335.0,18,2020
72,2020-04-03,3843,427.0,22,2020
73,2020-04-04,4355,528.0,27,2020
74,2020-04-05,4665,618.0,34,2020
75,2020-04-06,5009,728.0,37,2020
76,2020-04-07,5310,898.0,43,2020
77,2020-04-08,5740,1115.0,48,2020
78,2020-04-09,6166,1274.0,57,2020
79,2020-04-10,6695,1571.0,65,2020
80,2020-04-11,7366,1864.0,73,2020
81,2020-04-12,7652,2059.0,80,2020
82,2020-04-13,7964,2367.0,82,2020
83,2020-04-14,8356,2646.0,92,2020
84,2020-04-15,8712,2937.0,94,2020
85,2020-04-16,9246,3299.0,105,2020
86,2020-04-17,9691,3621.0,116,2020
87,2020-04-18,10598,4035.0,126,2020
88,2020-04-19,10956,4338.0,133,2020
89,2020-04-20,11375,4676.0,139,2020
90,2020-04-21,11700,4969.0,147,2020
91,2020-04-22,12164,5386.0,160,2020
92,2020-04-23,12680,5804.0,168,2020
93,2020-04-24,13174,6327.0,174,2020
94,2020-04-25,14537,6746.0,181,2020
95,2020-04-26,15010,7024.0,189,2020
96,2020-04-27,15492,7327.0,198,2020
97,2020-04-28,16044,7710.0,207,2020
98,2020-04-29,16564,8057.0,216,2020
99,2020-04-30,17702,8580.0,227,2020
100,2020-05-01,18687,9018.0,234,2020
101,2020-05-02,21213,9572.0,247,2020
102,2020-05-03,22441,10041.0,260,2020
103,2020-05-04,23421,10415.0,270,2020
104,2020-05-05,24794,10710.0,275,2020
105,2020-05-06,25826,11189.0,281,2020
106,2020-05-07,27359,11664.0,285,2020
107,2020-05-08,28750,12160.0,294,2020
108,2020-05-09,32208,12667.0,304,2020
109,2020-05-10,33855,13112.0,312,2020
110,2020-05-11,35052,13605.0,323,2020
111,2020-05-12,36710,14125.0,335,2020
112,2020-05-13,39370,14865.0,346,2020
113,2020-05-14,42029,15655.0,368,2020
114,2020-05-15,44531,16614.0,394,2020
115,2020-05-16,50016,18014.0,421,2020
