,Date,Confirmed,Recovered,Deaths,Ano,Mês
0,2020-01-22,0,0.0,0,2020,1
1,2020-01-23,0,0.0,0,2020,1
2,2020-01-24,0,0.0,0,2020,1
3,2020-01-25,0,0.0,0,2020,1
4,2020-01-26,0,0.0,0,2020,1
5,2020-01-27,0,0.0,0,2020,1
6,2020-01-28,0,0.0,0,2020,1
7,2020-01-29,0,0.0,0,2020,1
8,2020-01-30,0,0.0,0,2020,1
9,2020-01-31,0,0.0,0,2020,1
10,2020-02-01,1,0.0,0,2020,2
11,2020-02-02,1,0.0,0,2020,2
12,2020-02-03,1,0.0,0,2020,2
13,2020-02-04,1,0.0,0,2020,2
14,2020-02-05,1,0.0,0,2020,2
15,2020-02-06,1,0.0,0,2020,2
16,2020-02-07,1,0.0,0,2020,2
17,2020-02-08,1,0.0,0,2020,2
18,2020-02-09,2,0.0,0,2020,2
19,2020-02-10,2,0.0,0,2020,2
20,2020-02-11,2,0.0,0,2020,2
21,2020-02-12,2,0.0,0,2020,2
22,2020-02-13,2,0.0,0,2020,2
23,2020-02-14,2,0.0,0,2020,2
24,2020-02-15,2,2.0,0,2020,2
25,2020-02-16,2,2.0,0,2020,2
26,2020-02-17,2,2.0,0,2020,2
27,2020-02-18,2,2.0,0,2020,2
28,2020-02-19,2,2.0,0,2020,2
29,2020-02-20,2,2.0,0,2020,2
30,2020-02-21,2,2.0,0,2020,2
31,2020-02-22,2,2.0,0,2020,2
32,2020-02-23,2,2.0,0,2020,2
33,2020-02-24,2,2.0,0,2020,2
34,2020-02-25,6,2.0,0,2020,2
35,2020-02-26,13,2.0,0,2020,2
36,2020-02-27,15,2.0,0,2020,2
37,2020-02-28,32,2.0,0,2020,2
38,2020-02-29,45,2.0,0,2020,2
39,2020-03-01,84,2.0,0,2020,3
40,2020-03-02,120,2.0,0,2020,3
41,2020-03-03,165,2.0,1,2020,3
42,2020-03-04,222,2.0,2,2020,3
43,2020-03-05,259,2.0,3,2020,3
44,2020-03-06,400,2.0,5,2020,3
45,2020-03-07,500,30.0,10,2020,3
46,2020-03-08,673,30.0,17,2020,3
47,2020-03-09,1073,32.0,28,2020,3
48,2020-03-10,1695,32.0,35,2020,3
49,2020-03-11,2277,183.0,54,2020,3
50,2020-03-12,2277,183.0,55,2020,3
51,2020-03-13,5232,193.0,133,2020,3
52,2020-03-14,6391,517.0,195,2020,3
53,2020-03-15,7798,517.0,289,2020,3
54,2020-03-16,9942,530.0,342,2020,3
55,2020-03-17,11748,1028.0,533,2020,3
56,2020-03-18,13910,1081.0,623,2020,3
57,2020-03-19,17963,1107.0,830,2020,3
58,2020-03-20,20410,1588.0,1043,2020,3
59,2020-03-21,25374,2125.0,1375,2020,3
60,2020-03-22,28768,2575.0,1772,2020,3
61,2020-03-23,35136,2575.0,2311,2020,3
62,2020-03-24,39885,3794.0,2808,2020,3
63,2020-03-25,49515,5367.0,3647,2020,3
64,2020-03-26,57786,7015.0,4365,2020,3
65,2020-03-27,65719,9357.0,5138,2020,3
66,2020-03-28,73235,12285.0,5982,2020,3
67,2020-03-29,80110,14709.0,6803,2020,3
68,2020-03-30,87956,16780.0,7716,2020,3
69,2020-03-31,95923,19259.0,8464,2020,3
70,2020-04-01,104118,22647.0,9387,2020,4
71,2020-04-02,112065,26743.0,10348,2020,4
72,2020-04-03,119199,30513.0,11198,2020,4
73,2020-04-04,126168,34219.0,11947,2020,4
74,2020-04-05,131646,38080.0,12641,2020,4
75,2020-04-06,136675,40437.0,13341,2020,4
76,2020-04-07,141942,43208.0,14045,2020,4
77,2020-04-08,148220,48021.0,14792,2020,4
78,2020-04-09,153222,52165.0,15447,2020,4
79,2020-04-10,158273,55668.0,16081,2020,4
80,2020-04-11,163027,59109.0,16606,2020,4
81,2020-04-12,166831,62391.0,17209,2020,4
82,2020-04-13,170099,64727.0,17756,2020,4
83,2020-04-14,172541,67504.0,18056,2020,4
84,2020-04-15,177644,70853.0,18708,2020,4
85,2020-04-16,184948,74797.0,19315,2020,4
86,2020-04-17,190839,74797.0,20002,2020,4
87,2020-04-18,191726,74797.0,20043,2020,4
88,2020-04-19,198674,77357.0,20453,2020,4
89,2020-04-20,200210,80587.0,20852,2020,4
90,2020-04-21,204178,82514.0,21282,2020,4
91,2020-04-22,208389,85915.0,21717,2020,4
92,2020-04-23,213024,89250.0,22157,2020,4
93,2020-04-24,202990,92355.0,22524,2020,4
94,2020-04-25,205905,95708.0,22902,2020,4
